servicio,cod_empresa,empresa,centro_poblado,numero_pqrs,latitude,longitude
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PINILLOS,4,8.91545237529,-74.4624038627
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,EL REPARO,4,8.38687562571,-75.5641024159
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MINGUEO,4,11.2162452754,-73.3993175224
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BUENAVISTA,4,9.31985711931,-74.9730193151
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,DON ALONSO,4,9.22010744674,-75.3297851096
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PUNTA CANOA,4,10.5568958203,-75.5003044122
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BARRANCA DE YUCA,4,9.17919785446,-74.8532267713
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,TRES PALMAS,4,8.49070686405,-75.9504276818
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,LOS ANDES,3,9.58116073945,-74.3535971667
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CHIMA,3,9.14947838025,-75.6268945872
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CA?O DE PALMA,3,9.19258601007,-74.0870432918
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PRADO - SEVILLA,3,10.7630254626,-74.1400846875
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN CRISTOBAL,3,10.3928556679,-75.065534552
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SOPLAVIENTO,3,10.3884564354,-75.1364262581
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PITAL,3,10.8414663957,-74.9182963125
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MEDIA LUNA,3,10.2442907835,-73.144733009
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,TORNO ROJO,3,7.96967130735,-75.5530016543
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAMPUES,3,10.526816267,-74.181674414
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BERMEJAL,3,9.26351582604,-74.3860412955
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,ALBANIA,3,9.23891553405,-75.2276535099
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,COLOMBIA,3,10.6412205306,-75.0014606679
